Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
Na3NiAsCO7,Na,,,,,1314.0,,,,,1086.0,,736.7,,,,,,947.0,,,,,,,,,,,,,,,,
Na6Fe2P(CO4)4,Na,,,759.4,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na3CoPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na3NiPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na3CrSiCO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na3MnAsCO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3CoSiCO7,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,786.5,,,,,,,,,,,,,,,,,
Na3CoBAsO7,Na,,,,,1314.0,,,,,,,,,,,758.0,,947.0,,,,,,,800.7,,,,,,,,,
Na2FeCSO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3FeAsCO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na2CrAsCO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3FeSiCO7,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na3VAsCO7,Na,,,,,1314.0,,,,650.0,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3FeBAsO7,Na,,,759.4,,1314.0,,,,,,,,,,,,,947.0,,,,,,,800.7,,,,,,,,,
Na6Co2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,,947.0,,,,,,,,,,,,,,,,
Na2MnCSO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,999.6,,,,,,,,,,,,,,,,,,,,
Na2VCSO7,Na,,,,,1314.0,,,,650.0,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3MnSiCO7,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,786.5,,,,,,,,,,,,,,,,,
Na2CoCSO7,Na,,,,,1314.0,,,,,1086.0,,,,999.6,,758.0,,,,,,,,,,,,,,,,,,
Na3CuAsCO7,Na,,,,,1314.0,745.5,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na6Fe2As(CO4)4,Na,,,759.4,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na2Ti3Cr(PO4)6,Na,652.9,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na3CuCSO7,Na,,,,,1314.0,745.5,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na5Mn2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na3CoAsCO7,Na,,,,,1314.0,,,,,1086.0,,,,,,758.0,,947.0,,,,,,,,,,,,,,,,
Na2CrCSO7,Na,652.9,,,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na3MnBSO7,Na,,,,,1314.0,,,,,,717.4,,,999.6,,,,,,,,,,,800.7,,,,,,,,,
Na5Ti3O8,Na,,,,,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
NaFe(SiO3)2,Na,,,759.4,,1314.0,,,,,,,,,,,,786.5,,,,,,,,,,,,,,,,,
NaMnPO4,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaVP2O7,Na,,,,1012.0,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Ni2C4SO16,Na,,,,,1314.0,,,,,1086.0,,736.7,,999.6,,,,,,,,,,,,,,,,,,,,
NaFePO4,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaFeP2O7,Na,,,759.4,1012.0,1314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na5Ni2P2(CO7)2,Na,,,,1012.0,1314.0,,,,,1086.0,,736.7,,,,,,,,,,,,,,,,,,,,,,
Na2V6O15,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Mn3(PO4)4,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
Na6Co2C4SO16,Na,,,,,1314.0,,,,,1086.0,,,,999.6,,758.0,,,,,,,,,,,,,,,,,,
Na(Cu3O4)2,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na6Cr2C4SO16,Na,652.9,,,,1314.0,,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Cu2C4SO16,Na,,,,,1314.0,745.5,,,,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na(CrS2)2,Na,652.9,,,,,,,,,,,,,999.6,,,,,,,,,,,,,,,,,,,,
NaV(GeO3)2,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,762.2,,,,,,,,,,
Na6Ni2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,,736.7,,,,,,947.0,,,,,,,,,,,,,,,,
NaV2O4,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na6V2C4SO16,Na,,,,,1314.0,,,,650.0,1086.0,,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Mn2As(CO4)4,Na,,,,,1314.0,,,,,1086.0,717.4,,,,,,,947.0,,,,,,,,,,,,,,,,
NaV6O11,Na,,,,,1314.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na9Mn21O40,Na,,,,,1314.0,,,,,,717.4,,,,,,,,,,,,,,,,,,,,,,,
NaMn(SiO3)2,Na,,,,,1314.0,,,,,,717.4,,,,,,786.5,,,,,,,,,,,,,,,,,
NaTi(SiO3)2,Na,,,,,1314.0,,,,,,,,,,,,786.5,,,658.0,,,,,,,,,,,,,,
NaTiP2O7,Na,,,,1012.0,1314.0,,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,
